appid,steamspy_tags
9450,Warhammer 40K,Strategy,RTS,
9460,Action,FPS,Shooter,
9480,Open World,Action,Character Customization,
9500,Indie,Platformer,Physics,
9710,Action,Western,Strategy,
9760,Action,Strategy,RTS,
9800,Stealth,Action,Adventure,
9850,Strategy,Simulation,RTS,
9880,Free to Play,Superhero,Massively Multiplayer,
9900,Free to Play,Sci-fi,Space,
9940,Anime,Platformer,Female Protagonist,
9960,Adventure,
9970,Action,Space,
9980,Casual,Puzzle,Relaxing,
10090,Zombies,World War II,FPS,
10100,Adventure,Point & Click,Classic,
10110,Adventure,Point & Click,Classic,
10120,Action,Casual,Space,
10130,Action,FPS,Time Manipulation,
10140,Sports,Mini Golf,Golf,
10150,Action,Open World,Adventure,
10180,Action,FPS,Multiplayer,
10220,Action,Dark Humor,Gore,
10230,Adventure,Point & Click,
10240,Adventure,Point & Click,
10250,Simulation,Naval,
10260,Simulation,Naval,
10270,RPG,Turn-Based Strategy,Strategy,
10460,Action,Third-Person Shooter,Arcade,
10500,Strategy,Historical,Military,
10680,Action,FPS,Aliens,
11020,Racing,Free to Play,Multiplayer,
11040,Adventure,Detective,Point & Click,
11050,Adventure,Point & Click,Vampire,
11130,Adventure,Point & Click,Detective,
11140,Adventure,Point & Click,Lovecraftian,
11150,Adventure,Point & Click,Detective,
11190,Adventure,Point & Click,Detective,
11200,Action,Sci-fi,Isometric,
11230,Indie,Casual,Racing,
11240,Action,Space,FPS,
11250,Strategy,Simulation,World War II,
11260,Simulation,Strategy,World War II,
11280,Action,Casual,Indie,
11330,Puzzle,Casual,Indie,
11340,Action,Indie,Top-Down,
11360,Indie,Puzzle,Physics,
11450,RPG,Villain Protagonist,Third Person,
11480,Strategy,World War II,RTS,
11560,Strategy,RTS,
11590,Simulation,Management,Singleplayer,
12100,Open World,Action,Classic,
12110,Open World,Action,1980s,
12120,Open World,Action,Multiplayer,
12130,Gore,Violent,Stealth,
12140,Noir,Action,Classic,
12150,Noir,Action,Third-Person Shooter,
12170,Action,Classic,Open World,
12180,Action,Classic,Open World,
12200,Open World,Action,Adventure,
12210,Open World,Action,Bowling,
12220,Open World,Action,Multiplayer,
12310,Adventure,RPG,Sci-fi,
12320,RPG,Action,Hack and Slash,
12330,Action,Space,Sci-fi,
12340,Adventure,Point & Click,Comedy,
12360,Racing,Destruction,Multiplayer,
12390,Action,FPS,Shooter,
12420,Strategy,RTS,
12430,Casual,Pinball,
12440,Adventure,Point & Click,Comedy,
12450,Adventure,Point & Click,
12460,Strategy,RTS,
12470,Strategy,Trading,Pirates,
12480,Strategy,RTS,Military,
12500,Puzzle,Match 3,Casual,
12510,Strategy,Simulation,
12520,Simulation,Racing,Driving,
12530,Action,Strategy,Adventure,
12540,Casual,Puzzle,
12560,Simulation,Management,
12590,Racing,
12600,Racing,
12640,RPG,Fantasy,Party-Based RPG,
12670,Simulation,Casual,
12710,RPG,Action,Villain Protagonist,
12770,RPG,Action,Adventure,
12790,Action,Adventure,Steampunk,
12810,RPG,Villain Protagonist,Fantasy,
12830,Action,FPS,Tactical,
13000,Indie,Casual,Ninja,
13140,Action,Free to Play,FPS,
13200,Action,FPS,Sci-fi,
13210,FPS,Action,Multiplayer,
13230,FPS,Arena Shooter,Action,
13240,Classic,FPS,Action,
13250,Classic,FPS,Action,
13500,Action,Adventure,Parkour,
13520,FPS,Action,Classic,
13530,Action,Adventure,Platformer,
13540,Action,FPS,Tactical,
13560,Stealth,Action,Third Person,
13570,Stealth,Action,Third Person,
13580,Stealth,Action,Third Person,
13600,Action,Adventure,Parkour,
13620,Action,FPS,Tactical,
15000,Action,FPS,Tactical,
15080,Adventure,Action,Psychological Horror,
15100,Action,Adventure,Open World,
15120,Action,Tactical,FPS,
15130,Adventure,Female Protagonist,Action,
15160,Simulation,Horses,Family Friendly,
15170,Strategy,Turn-Based Strategy,Fantasy,
15190,Action,FPS,World War II,
15200,Simulation,Submarine,World War II,
15210,Simulation,Naval,World War II,
15240,Simulation,Submarine,World War II,
15270,Horror,Action,Survival Horror,
15300,Tactical,FPS,Action,
15320,Simulation,Flight,World War II,
15370,Strategy,Turn-Based Strategy,Turn-Based,
15380,Strategy,Turn-Based Strategy,Turn-Based,
15390,Action,World War II,FPS,
15400,Strategy,Indie,Tower Defense,
15500,Indie,Casual,Action,
15520,Action,Indie,First-Person,
15560,Indie,Action,First-Person,
15620,Strategy,Warhammer 40K,RTS,
15700,Adventure,Platformer,Classic,
15710,Adventure,Platformer,2D,
15740,Adventure,Action,Strategy,
15750,Adventure,Action,Singleplayer,
15800,Indie,Casual,
15900,Casual,Puzzle,Match 3,
15910,Casual,
15920,Casual,
15930,Casual,Match 3,Puzzle,
15960,Casual,Agriculture,Puzzle,
15970,Casual,Match 3,
16000,Casual,Hidden Object,
16020,Casual,Hidden Object,Adventure,
16030,Casual,Match 3,Puzzle,
16040,Casual,Puzzle,Match 3,
16060,Casual,Hidden Object,Adventure,
16100,Casual,Simulation,
16110,Casual,Simulation,
16120,Casual,Simulation,Management,
16130,Casual,Simulation,Management,
16180,Casual,Simulation,
16200,Simulation,Casual,
16450,Horror,FPS,Action,
16500,Indie,Casual,Puzzle,
16600,Racing,Indie,Sports,
16620,Racing,Indie,Sports,
16710,Adventure,Action,Female Protagonist,
16720,Stealth,Action,Female Protagonist,
16730,Action,FPS,Shooter,
16810,Strategy,Turn-Based,Turn-Based Strategy,
16900,Early Access,Indie,Tactical,
17080,Free to Play,FPS,Action,
17100,City Builder,Historical,Management,
17120,City Builder,Simulation,Management,
17140,Strategy,RPG,Fantasy,
17180,Strategy,Historical,
17300,FPS,Action,Sci-fi,
17330,Action,FPS,Sci-fi,
17390,Simulation,Sandbox,Open World,
17410,Parkour,First-Person,Action,
17430,Racing,Open World,Multiplayer,
17440,Simulation,Adventure,Open World,
17450,RPG,Fantasy,Story Rich,
17460,RPG,Sci-fi,Story Rich,
17470,Horror,Action,Sci-fi,
17480,Strategy,RTS,Base-Building,
17500,Free to Play,Zombies,Multiplayer,
17570,Free to Play,Multiplayer,Action,
17710,Strategy,FPS,Action,
17740,Free to Play,Strategy,Action,
18000,RPG,Adventure,Comedy,
18020,RPG,Adventure,Comedy,
18040,RPG,Action,Indie,
18050,Action,RPG,Indie,
18070,RPG,Action,Adventure,
18120,Tower Defense,Strategy,Indie,
18300,Casual,Indie,Puzzle,
18400,Casual,Strategy,Puzzle,
18420,Casual,Strategy,Puzzle,
18470,Strategy,Western,
18480,Adventure,Point & Click,Female Protagonist,
18500,Tower Defense,Strategy,Sci-fi,
18600,Indie,Strategy,
18700,Platformer,Indie,Puzzle,
18820,Racing,Indie,Action,
19000,Horror,Adventure,Survival Horror,
19020,RPG,Casual,Puzzle,
19030,Action,Adventure,Platformer,
19080,Action,Adventure,Casual,
19200,Action,Indie,Tanks,
19320,Action,Casual,Indie,
19500,Indie,Adventure,Platformer,
19800,Action,FPS,World War II,
19830,Tactical,FPS,Action,
19900,Open World,FPS,Action,
19980,Action,Adventure,Platformer,
20200,Indie,Casual,Sports,
20510,Open World,Atmospheric,Post-apocalyptic,
20530,Action,FPS,Sci-fi,
20540,Strategy,RTS,World War II,
20550,Action,FPS,Strategy,
20570,Strategy,Warhammer 40K,RTS,
20700,Action,Indie,Strategy,
20710,Indie,Strategy,Action,
20820,Great Soundtrack,Indie,Arcade,
20900,RPG,Fantasy,Story Rich,
20920,RPG,Fantasy,Mature,
21000,LEGO,Action,Adventure,
21010,Action,Superhero,Beat 'em up,
21030,Action,Superhero,Beat 'em up,
21090,Horror,FPS,Action,
21100,FPS,Horror,Co-op,
21130,LEGO,Adventure,Action,
21300,Arcade,
21400,Strategy,Indie,Action,
21500,Racing,Sci-fi,
21640,Strategy,Casual,Puzzle,
21660,Fighting,Action,Arcade,
21670,Action,Adventure,Third Person,
21680,Action,Platformer,Remake,
21690,Action,Zombies,Co-op,
21780,Racing,Action,Open World,
21800,Strategy,RTS,Tactical,
21980,Western,Action,FPS,
22000,Puzzle,Indie,Physics,
22100,RPG,Medieval,Open World,
22120,Horror,Adventure,First-Person,
22130,Strategy,Grand Strategy,World War II,
22180,Horror,Adventure,First-Person,
22200,Action,Indie,Surreal,
22230,Comedy,Indie,Strategy,
22300,Open World,Post-apocalyptic,RPG,
22310,Action,FPS,Comedy,
22320,RPG,Open World,Fantasy,
22330,Open World,RPG,Fantasy,
22350,FPS,Action,Multiplayer,
22370,Open World,RPG,Post-apocalyptic,
22380,Open World,RPG,Post-apocalyptic,
22450,Action,Adventure,Third Person,
22500,Strategy,Card Game,
22600,Strategy,2D,Turn-Based,
22610,Action,Shooter,Sci-fi,
22650,Action,Shooter,Isometric,
22670,Action,Shooter,Third Person,
23150,Indie,Casual,
23300,Casual,Puzzle,
23380,RPG,Puzzle,Match 3,
23400,Strategy,Simulation,City Builder,
23420,Strategy,Grand Strategy,Historical,
23450,Strategy,City Builder,Simulation,
23460,Adventure,Point & Click,Strategy,
23490,Simulation,Strategy,City Builder,
23500,RPG,Casual,Match 3,
23530,Action,Third-Person Shooter,Co-op,
23600,Strategy,RPG,Indie,
23700,Casual,Puzzle,Match 3,
24010,Simulation,Trains,Singleplayer,
24200,Free to Play,Superhero,Massively Multiplayer,
24240,FPS,Action,Co-op,
24400,Strategy,RPG,Fantasy,
24410,Strategy,Medieval,Historical,
24420,Metroidvania,Indie,Female Protagonist,
24460,Strategy,RPG,Fantasy,
24480,Strategy,RPG,RTS,
24640,Simulation,Trains,
24650,Simulation,Trains,
24670,Simulation,Trains,Multiplayer,
24720,Simulation,Action,Space,
24740,Racing,Open World,Multiplayer,
24780,Simulation,City Builder,Strategy,
24790,Strategy,RTS,Base-Building,
24800,Strategy,RTS,Base-Building,
24810,Strategy,RTS,Base-Building,
24840,Action,World War II,FPS,
24870,Racing,Simulation,Multiplayer,
24960,FPS,Multiplayer,Action,
24980,RPG,Sci-fi,Story Rich,
25000,Parkour,Action,Indie,
25010,Action,Indie,Martial Arts,
25500,Sports,Simulation,Indie,
25600,RPG,Indie,Isometric,
25620,RPG,Indie,Isometric,
25700,Indie,Action,Shooter,
25800,Strategy,Grand Strategy,Historical,
25830,Strategy,Medieval,Grand Strategy,
25850,Strategy,RPG,Turn-Based Strategy,
25890,Grand Strategy,World War II,Strategy,
25900,RPG,Strategy,Turn-Based Strategy,
25910,Strategy,Simulation,Grand Strategy,
25930,Strategy,Economy,Historical,
25980,Strategy,Simulation,Fantasy,
25990,Strategy,Simulation,Fantasy,
26000,Indie,Platformer,Cute,
26300,Action,Indie,
26800,Puzzle,Platformer,Indie,
26900,Indie,Casual,Puzzle,
27000,Walking Simulator,Indie,Horror,
27020,Walking Simulator,Indie,Short,
27050,Indie,Adventure,Casual,
27200,Sports,
27330,Action,FPS,Multiplayer,
27400,Indie,RPG,Casual,
27600,Indie,Casual,Music,
27800,Indie,Psychedelic,Arcade,
27810,Arcade,Indie,Psychedelic,
27900,Action,Adventure,Puzzle,
27920,Action,Indie,Platformer,
27940,Action,Zombies,Indie,
28000,Action,Co-op,Third-Person Shooter,
29120,Casual,Indie,
29130,Indie,Casual,Puzzle,
29160,Adventure,Indie,Short,
29180,Indie,Casual,Puzzle,
29800,Action,Indie,Adventure,
29900,Action,Third-Person Shooter,Singleplayer,
31270,Puzzle,Adventure,Point & Click,
31300,Action,FPS,
31800,Adventure,Point & Click,Female Protagonist,
31810,Adventure,Point & Click,Mystery,
31820,Adventure,Point & Click,Mystery,
31830,Adventure,Point & Click,Mystery,
31840,Adventure,Point & Click,Mystery,
31850,Adventure,Point & Click,Mystery,
31860,Adventure,Point & Click,Mystery,
31870,Adventure,Casual,Female Protagonist,
31880,Adventure,Point & Click,Mystery,
31890,Action,Point & Click,Puzzle,
31900,Adventure,Point & Click,Female Protagonist,
31910,Adventure,Point & Click,Puzzle,
31920,Adventure,Point & Click,Puzzle,
31930,Adventure,Point & Click,Mystery,
31980,Adventure,Point & Click,Puzzle,
32000,Indie,Casual,
32110,Casual,Puzzle,Singleplayer,
32120,Casual,Puzzle,Match 3,
32140,Adventure,Casual,Hidden Object,
32150,Casual,Puzzle,Indie,
32160,Bowling,Zombies,Casual,
32200,Action,Indie,Racing,
32310,Adventure,Point & Click,Classic,
32330,Adventure,Action,LEGO,
32340,Adventure,Point & Click,Classic,
32350,Action,Simulation,Star Wars,
32360,Point & Click,Adventure,Comedy,
32370,RPG,Star Wars,Sci-fi,
32380,Action,Star Wars,FPS,
32390,Action,Star Wars,FPS,
32400,FPS,Star Wars,Action,
32410,Casual,Platformer,Puzzle,
32420,Action,Star Wars,Singleplayer,
32430,Action,Star Wars,Third Person,
32440,LEGO,Star Wars,Adventure,
32450,Adventure,LEGO,Action,
32460,Adventure,Point & Click,Comedy,
32470,Strategy,Star Wars,RTS,
32500,Action,Star Wars,Sci-fi,
32510,LEGO,Star Wars,Action,
32610,Action,FPS,
32620,Action,FPS,Military,
