appid,positive_ratings,negative_ratings
57300,20222,11991
57620,153,1291
57640,1131,1081
57650,214,2661
57680,473,2081
57690,8740,8271
57700,98,421
57740,730,3451
57800,79,921
57900,4433,22431
58200,249,311
58230,81,161
58400,46,831
58520,675,2281
58550,201,4201
58560,191,341
58570,352,591
58610,1892,5741
60340,39,201
60350,80,111
60600,30,221
60700,9,251
60800,66,691
61100,171,531
61310,140,441
61500,334,981
61510,105,281
61520,225,351
61600,432,651
61700,1293,1571
61730,256,141
62000,406,361
62100,564,391
63000,673,1681
63110,139,591
63200,720,2051
63500,572,1601
63610,288,1031
63650,68,181
63660,155,801
63700,616,1401
63710,3058,4901
63800,225,1591
63900,115,281
63910,492,471
63940,399,2471
63960,50,761
64000,2881,4161
65070,56,551
65080,87,301
65270,144,271
65400,87,171
65500,84,631
65530,125,851
65540,3396,5231
65560,206,1961
65600,247,2541
65610,119,2251
65710,297,591
65730,340,2601
65740,362,4421
65780,548,2091
65790,3195,9421
65800,10693,9321
65930,6661,29231
65980,9555,82241
67000,331,1141
67370,11992,12341
70000,12222,23671
70100,598,3081
70110,192,1481
70120,176,2981
70200,68,221
70210,147,291
70300,6719,2681
70400,5047,1831
70420,440,1481
70500,33,111
70600,2188,3231
70620,400,881
70640,319,531
70650,102,1011
70660,140,1841
70900,229,441
71000,322,851
71230,1240,2731
71240,325,621
71260,687,891
71340,6921,5891
72000,680,1071
72400,245,801
72850,237303,149511
72900,139,771
73010,605,1791
73060,32,681
73170,1075,1441
73190,35,441
73210,205,1101
73220,113,621
78000,2670,1261
80000,46,1131
80200,267,801
80300,109,381
80310,1199,1281
80330,848,1071
80340,364,271
80350,298,141
80360,312,111
90200,338,681
90400,59,131
91100,771,981
91200,3300,4811
91330,434,2751
91600,2552,2961
91700,4459,9061
91800,77,91
91810,21,71
91900,1219,2251
92000,1270,8271
92100,1107,6731
92200,130,81
92210,146,291
92220,124,221
92300,564,2531
92400,36,131
92600,121,391
92700,36,791
92800,3700,3241
92900,84,821
93200,837,1581
94000,445,3711
94200,1955,1031
94300,968,851
94400,5480,7581
94590,588,861
94620,172,141
95000,120,351
95300,723,2121
95400,3125,2111
95700,823,521
95900,167,1111
96000,3923,5671
96100,7553,12241
96200,181,1151
96800,167,1051
96900,25,151
97000,1540,1581
97100,707,2171
97110,36,71
97120,42,51
97130,91,81
97330,921,1301
98100,402,1821
98200,1990,4301
98300,1032,1081
98400,3225,6561
98500,134,1211
98600,197,531
98800,3879,2351
98900,141,911
99100,97,2831
99120,29,201
99300,1773,2971
99400,156,1661
99410,40,811
99700,748,1001
99900,15666,32021
