appid,genres,steamspy_tags,categories
793210,Adventure;Indie;Simulation,Adventure;Indie;Simulation,Single-player;Partial Controller Support
793220,Adventure;Indie,Adventure;Indie,Single-player;Steam Achievements;Stats
793240,Action;Casual;Indie,Action;Indie;Casual,Single-player;Steam Achievements
793250,Casual;Indie;Strategy,Strategy;Indie;Casual,Single-player
793260,Indie;Strategy,Strategy;Indie;Turn-Based,Single-player
793280,Action;Indie;Early Access,Early Access;Action;Indie,Single-player;Multi-player;Online Multi-Player
793350,Action;Casual;Indie,Action;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards
793360,Action;Casual,Action;Casual;3D Platformer,Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats
793410,Indie;RPG,RPG;Indie;Nudity,Single-player
793450,Adventure;Indie;RPG,Sexual Content;Indie;Adventure,Single-player;Steam Achievements;Captions available
793480,Casual;Indie,Indie;Casual,Single-player;Steam Achievements
793490,Action;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy,Massively Multiplayer;Free to Play;Strategy,Multi-player;Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases
793510,Violent;Gore;Adventure;Indie,Violent;Adventure;Indie,Single-player
793570,Action;Indie;Early Access,Early Access;Indie;Action,Local Multi-Player;Shared/Split Screen;Full controller support
793600,Action;Indie,Hack and Slash;Indie;Action,Single-player;Steam Achievements;Full controller support;Steam Leaderboards
793620,Action;Indie,Action;Indie;First-Person,Single-player
793630,Action;Indie,Action;Indie;Shoot 'Em Up,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Leaderboards
793640,Action;Casual;Indie,Action;Indie;Casual,Single-player;Local Co-op;Steam Achievements
793670,Action;Indie,Indie;Action;Gore,Multi-player;Online Multi-Player;Cross-Platform Multiplayer
793690,Strategy;Early Access,Early Access;Strategy;VR,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Stats;Steam Leaderboards;Steam Turn Notifications
793700,Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player;Steam Achievements
793710,Casual;Indie,Indie;Casual,Single-player;Steam Achievements
793740,Action;Adventure;Indie,Indie;Action;Adventure,Single-player;Steam Achievements;Full controller support
793760,Sexual Content;Action;Casual;Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,Single-player;Steam Achievements;Includes level editor
793820,Action;Adventure;Indie;RPG,Adventure;Indie;Action,Single-player;Steam Cloud
793880,Casual;Indie;Simulation,Casual;Simulation;Indie,Single-player;In-App Purchases
793940,Casual;Simulation,Casual;Simulation;Singleplayer,Single-player;Steam Achievements
793970,Adventure;Racing;Sports,Racing;Adventure;Sports,Single-player;Steam Achievements;Partial Controller Support
793990,Casual;Indie,Indie;Casual,Single-player;Steam Achievements
794030,Violent;Gore;Adventure;Casual;Indie;RPG,Adventure;RPG;Indie,Single-player;Steam Achievements;Full controller support
794050,Massively Multiplayer;Racing;Simulation;Sports,Massively Multiplayer;Simulation;Racing,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements
794180,Casual;Simulation;Sports,Simulation;Casual;Sports,Single-player;Steam Achievements;Full controller support;Steam Cloud
794190,Indie;Simulation;Sports,Sports;Indie;Simulation,Single-player;Steam Achievements
794230,Adventure;Indie;Early Access,Early Access;Indie;Adventure,Single-player;Includes level editor
794260,RPG,RPG;Open World;Survival,Single-player;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats
794270,Action;Adventure;Indie;RPG;Early Access,Early Access;Adventure;Action,Single-player;Steam Trading Cards
794300,Sexual Content;Action;Adventure;Indie;RPG,Sexual Content;Action;Adventure,Single-player;Steam Achievements
794360,Adventure;Casual;Indie;Simulation,Casual;Adventure;Indie,Single-player
794390,Action;Indie;RPG,RPG;Action;Indie,Single-player
794410,Action;Adventure;Casual;Indie;RPG,Indie;Casual;Action,Single-player
794480,Action;Adventure;Indie,Action;Indie;Adventure,Single-player
794490,Action;Adventure;Casual;Indie;RPG;Simulation;Early Access,Early Access;Adventure;Simulation,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Cloud
794530,Action;Indie;RPG,Action;Indie;RPG,Single-player;Steam Achievements;Stats;Steam Leaderboards
794550,Action;Indie,Action;Indie;Platformer,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud
794570,Sports,Sports,Single-player;Multi-player;Steam Achievements
794580,Action,Action;Anime;Cute,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats
794600,Single-player;Steam Achievements;Captions available;In-App Purchases;Partial Controller Support,Action;Free to Play,18
794630,Casual;Indie;Strategy,Casual;Indie;Strategy,Single-player;Steam Achievements
794640,Indie;Early Access,Early Access;Indie;Survival Horror,Single-player;Steam Achievements
794710,Simulation;Strategy,Strategy;Simulation;VR,Single-player
794740,Adventure,Adventure;Visual Novel;Nudity,Single-player;Steam Achievements
794760,Action;Indie,Action;Indie;Rogue-like,Single-player;Steam Achievements;Partial Controller Support
794780,Action;Indie;Simulation;Early Access,Early Access;Action;Indie,Single-player
794800,Casual;Strategy,Casual;Strategy;Board Game,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases
794810,Adventure;Casual;Indie;Racing,Casual;Racing;Adventure,Single-player;Steam Achievements
794820,Indie;RPG;Simulation,RPG;Indie;Simulation,Single-player;Steam Achievements;In-App Purchases
794830,Adventure;Indie,Adventure;Indie;Point & Click,Single-player
794910,Action;Casual;Indie;Strategy,Action;Casual;Strategy,Single-player;Steam Achievements
794920,Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player
794940,Casual;Indie;Strategy,Casual;Indie;Strategy,Single-player;Steam Achievements
794950,Indie;RPG,Indie;RPG;Anime,Single-player;Steam Achievements;Steam Cloud
794990,Adventure;Casual;Indie;Massively Multiplayer,Adventure;Massively Multiplayer;Indie,Single-player;Online Multi-Player
795030,Action;Adventure;Indie,Action;Adventure;Indie,Single-player;Steam Achievements
795040,Indie,Indie;Platformer;2D,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards
795050,Action;Adventure;Indie,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support
795070,Casual;Indie;Sports;Strategy,Casual;Strategy;Indie,Single-player
795100,Violent;Gore;Casual;Free to Play;Indie;Strategy,Free to Play;Violent;Gore,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud
795110,Casual;Indie,Casual;Indie;Puzzle,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support
795120,Adventure;Indie;RPG,Adventure;Indie;RPG,Single-player;Partial Controller Support
795140,Indie;Simulation;Strategy,Strategy;Indie;Simulation,Single-player;Steam Achievements
795160,Adventure,Nudity;Sexual Content;Adventure,Single-player;Steam Achievements
795220,Casual;Indie;Simulation;Strategy,Strategy;Indie;Casual,Single-player;Steam Achievements
795230,Casual;Indie;Simulation;Strategy,Strategy;Indie;Casual,Single-player;Steam Achievements
795320,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,Single-player;Steam Achievements
795430,Casual,Casual;VR,Single-player;Includes level editor
795480,Violent;Gore;Action;Adventure;Indie;Racing,Action;Adventure;Indie,Single-player;Steam Achievements
795490,Action;Indie;Early Access,Early Access;Action;Indie,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Full controller support
795500,Adventure;Casual;Indie;Simulation,Casual;Adventure;Indie,Single-player
795510,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,0
795530,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,Single-player;Steam Achievements
795550,Action;Casual;Indie,Action;Indie;Casual,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
795570,Action;Indie,Indie;Action;2D,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards
795610,Action;Adventure;Indie,Indie;Adventure;Action,Single-player;Steam Achievements;Full controller support;Steam Cloud
795680,Casual;Indie,Indie;Casual;Visual Novel,Single-player;Steam Achievements
795910,Adventure;Indie;RPG,Adventure;Indie;RPG,Single-player;Steam Achievements
795920,Action;Casual;Indie,Action;Indie;Casual,Single-player;Full controller support
795940,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
795950,Action;Adventure;Indie,Action;Indie;Adventure,Single-player
795960,Action;Adventure;Indie,Action;Indie;Gore,Single-player
796030,Action;Adventure;Indie;Strategy,Action;Strategy;Indie,Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Leaderboards
796050,Adventure;Casual,Adventure;Casual;Hidden Object,Single-player
796060,Adventure;Casual,Adventure;Casual;Hidden Object,Single-player
796070,Adventure;Casual,Adventure;Casual;Hidden Object,Single-player
796090,Adventure;Casual,Adventure;Casual;Hidden Object,Single-player
796100,Adventure;Casual,Adventure;Casual;Hidden Object,Single-player
796110,Action;Casual;Indie,Action;Indie;Casual,Single-player;Partial Controller Support
796130,Adventure;Indie;Simulation,Adventure;Indie;Simulation,Single-player;Steam Achievements
796270,Action;Indie;Racing;Simulation;Sports,Racing;Sports;Action,Single-player
796290,Action;Free to Play;Simulation;Sports;Early Access,Early Access;Sports;Free to Play,Cross-Platform Multiplayer;Steam Achievements;Full controller support;In-App Purchases;Stats;Steam Leaderboards
796320,Casual;Indie,Casual;Indie;Relaxing,Single-player;Shared/Split Screen
796340,Action;Adventure;Early Access,Early Access;Action;Adventure,Multi-player;Online Multi-Player;In-App Purchases
796360,Casual;Indie,Indie;Casual;Singleplayer,Single-player;Steam Achievements
796370,Adventure;Indie,Adventure;Indie,Single-player;Steam Achievements;Steam Cloud
796380,Action;Indie,Action;Indie;Shoot 'Em Up,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards
796400,Adventure;Indie,Adventure;Indie;Point & Click,Single-player;Steam Cloud
796430,Action;Casual;Indie;Early Access,Early Access;Indie;Action,Multi-player;Online Multi-Player;Co-op;Shared/Split Screen
796440,Action;Indie,Action;Indie;FPS,Single-player;Stats
796450,Action;Indie;Simulation;Sports,Action;Indie;Simulation,Single-player
796460,Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player
796480,Adventure;Indie,Adventure;Indie;FPS,Single-player;Steam Cloud;Stats
796490,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
796500,Action;Casual;Indie;Early Access,Early Access;Action;Indie,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements
796510,Adventure;Casual;Indie;RPG,Adventure;Indie;Casual,Single-player;Steam Achievements
796520,Casual;Indie,Indie;Casual,Single-player
796580,Casual,Casual;Bullet Hell;Arcade,Single-player;Steam Achievements;Partial Controller Support
796600,Action,Action;Memes,Single-player
796620,Action;Adventure;Indie;RPG,Action;Indie;Adventure,Single-player;Partial Controller Support
796640,Adventure;Casual;Indie,Adventure;Casual;Indie,Single-player;Steam Achievements
796650,Gore;Adventure;Simulation,Gore;Adventure;Simulation,Single-player;Steam Achievements
796710,Action;Indie,Action;Indie,Single-player
796760,Adventure;Indie;Strategy,Strategy;Adventure;Indie,Single-player;Steam Cloud
796770,Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player;Steam Achievements;Stats
796780,Action;Indie;Racing;Simulation;Sports,Racing;Sports;Action,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards
796790,Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player;Steam Achievements
796800,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,Multi-player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support
796810,Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,Single-player
796830,Adventure;Casual;Simulation,Casual;Simulation;Adventure,Single-player
796840,Indie,Indie;Education;Puzzle,Single-player;Steam Achievements
796860,Violent;Action;Adventure;Casual;Indie;RPG;Simulation;Early Access,Early Access;Simulation;Action,Single-player
796890,Adventure;Casual;Indie;Simulation,Casual;Adventure;Indie,Single-player
796900,Action;Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player;Steam Achievements
796910,Sexual Content;Violent;Adventure;Free to Play;Indie,Free to Play;Horror;Indie,Single-player;Steam Cloud
796920,Action;Simulation,Action;Simulation,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats
796930,Action;Adventure;Indie;Racing;RPG;Sports,Action;Adventure;RPG,Single-player;Partial Controller Support
796940,Casual,Casual;Visual Novel;Romance,Single-player;Steam Achievements;Captions available;Steam Cloud
796950,Indie,Indie,Single-player
796970,Simulation;Sports,Sports;Simulation;VR,Single-player;Steam Leaderboards
796980,Action;Adventure;Casual;Indie,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Cloud
797010,Casual;Free to Play;Indie;RPG,Free to Play;Casual;RPG,Single-player
797020,Indie;Simulation;Strategy,Strategy;Indie;Simulation,Single-player
797040,18,Single-player,windows
797060,Casual;Indie;Simulation,Casual;Simulation;Indie,Single-player;Steam Achievements
797070,Adventure;Casual,Adventure;Casual,Single-player
797090,Casual;Indie;Simulation;Strategy,Strategy;Indie;Casual,Single-player;Steam Achievements
797190,Action;Adventure;Indie;RPG;Strategy,Adventure;Action;Indie,Single-player
797200,Casual;Indie,Indie;Casual;VR,Single-player;SteamVR Collectibles
797300,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
797310,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
797330,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
797340,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
797350,Casual;Indie;Strategy,Casual;Strategy;Indie,Single-player
797390,Adventure;Free to Play;Indie,Free to Play;Indie;Adventure,Single-player;Steam Achievements
797410,Action;Casual;Indie;Sports;Early Access,Early Access;Casual;Action,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards
797420,Casual;Indie;Racing,Indie;Casual;Racing,Single-player
